intent,utterance
explain_concept,Bakit maraming cybercrime ang nagaganap ngayon?
explain_concept,Anong mga krimen ang madalas na nangyayari sa social media?
explain_concept,Mayroon bang mga halimbawa ng cybercrime na nangyari sa Pilipinas?
explain_concept,Anong mga krimen sa internet ang nakakaapekto sa mga ordinaryong tao?
explain_concept,Paano ba talaga nangloloko ang mga scammer?
explain_concept,Ano ang ginagawa ng scammer para makapanloko?
explain_concept,Paano nila nakukuha ang tiwala ng kanilang biktima?
explain_concept,Ano ang modus operandi ng mga scammer?
explain_concept,Paano nila kinukuha ang pera ng mga tao?
explain_concept,Anong mga teknik ang ginagamit ng mga scammer?
explain_concept,Paano gumagalaw ang mga scammer para hindi mahuli?
explain_concept,Paano ginagamit ng mga scammer ang social media para manlooko?
explain_concept,Pinaplano ba nila ang scam bago nila gawin?
explain_concept,Paano nila ginagamit ang personal na impormasyon ng tao sa scam?
explain_concept,Paano nila nahihikayat ang mga tao na magtiwala sa kanila?
explain_concept,Paano nila inuuto ang mga taong hindi marunong sa teknolohiya?
explain_concept,Ano ang aking mga karapatan pagdating sa personal na impormasyon ko?
explain_concept,May karapatan ba ako na kontrolin kung paano ginagamit ang datos ko?
explain_concept,Ano ang mga legal na karapatan ko sa data privacy?
explain_concept,Pwede ko bang i-request na burahin ang aking personal na impormasyon?
explain_concept,May karapatan ba akong malaman kung saan ginagamit ang datos ko?
explain_concept,Pwede ba akong humingi ng kopya ng aking personal na impormasyon?
explain_concept,Paano ko babaguhin o itatama ang maling datos na nakalagay sa akin?
explain_concept,Pwede ko bang bawiin ang aking pahintulot sa paggamit ng aking datos?
explain_concept,Pwede ko bang pigilan ang paggamit ng aking impormasyon?
explain_concept,Ano ba ang romance scam?
explain_concept,Paano gumagana ang romance scam?
explain_concept,Ano ang panloloko na ginagawa sa mga taong naghahanap ng relasyon online?
explain_concept,Ano ang tinatawag na love scam?
explain_concept,Bakit nahuhulog sa romance scam ang maraming tao?
explain_concept,Paano nila ginagamit ang emosyon ng tao sa romance scam?
explain_concept,Paano ka niloloko sa pamamagitan ng pekeng pagmamahal online?
explain_concept,Nangyayari ba ang romance scam sa social media?
explain_concept,Bakit humihingi ng pera ang nagpapanggap na mahal mo sa buhay online?
explain_concept,Ano ang online dating scam at paano ito nangyayari?
explain_concept,Paano nagpapanggap ang mga scammer na may romantikong interes?
explain_concept,Ano ang modus ng romance scam?
explain_concept,"Na-encrypt daw ang aking mga files, ano ang ibig sabihin noon?"
explain_concept,Paano nangyari na na-lock ang aking phone?
explain_concept,Ano ang ibig sabihin ng tech support scam?
explain_concept,Paano gumagana ang tech support scam?
explain_concept,Bakit may tumatawag na nagpapanggap na tech support?
explain_concept,Paano ako niloloko gamit ang pekeng tech support?
explain_concept,Bakit may pop-up na nagsasabing may virus ang aking computer?
explain_concept,Paano nagpapanggap ang scammer na computer technician?
explain_concept,Ano ang mga pekeng babala tungkol sa virus na lumalabas sa screen?
explain_concept,Bakit may tumatawag na nagsasabing kailangan ayusin ang aking device?
explain_concept,Ano po ang tech support scam sa madaling salita?
explain_concept,Bakit may nagsasabing nahack daw ang aking computer?
explain_concept,Ano ang modus ng tech support scam?
explain_concept,Paano nangyayari ang tech support scam sa totoong buhay?
explain_concept,Ano ang ibig sabihin ng phishing scam?
explain_concept,Paano gumagana ang phishing?
explain_concept,Paano ginagamit ng mga scammer ang email bilang paraan ng panloloko?
explain_concept,Paano nangyayari ang phishing attack?
explain_concept,Ano ang modus ng phishing?
explain_concept,Ano ang scam na gumagamit ng pekeng link?
explain_concept,Paano nagpapanggap ang scammer na bangko para lokohin ako?
explain_concept,Ano ang panloloko gamit ang SMS o text na may link?
explain_concept,Bakit may mensahe na kailangan ko daw i-verify ang aking account?
explain_concept,Paano nagpapanggap ang scammer na isang kumpanya?
explain_concept,Ano ang tawag sa scam na gumagamit ng pekeng website?
explain_concept,"Sa simpleng salita, paano gumagana ang phishing?"
explain_concept,Ano ang ibig sabihin ng charity scam?
explain_concept,Paano gumagana ang charity scam?
explain_concept,Paano ginagamit ng mga scammer ang pekeng charity para manlooko?
explain_concept,Paano nagpapanggap ang scammer na isang charity organization?
explain_concept,Paano nalilinlang ng charity scam ang mga taong gustong tumulong?
explain_concept,Paano gumagana ang pekeng donation request?
explain_concept,Paano gumagana ang pekeng fundraising website?
explain_concept,Paano ginagamit ang social media bilang kasangkapan ng charity scam?
explain_concept,Ano ba talaga ang charity scam?
explain_concept,Paano nagpapanggap ang mga scammer na NGO o fundraising group?
explain_concept,Ano ang ibig sabihin ng lottery scam?
explain_concept,Paano gumagana ang lottery scam?
explain_concept,Paano ako niloloko sa lottery scam?
explain_concept,Ano ang modus ng lottery scam?
explain_concept,Paano nangyayari ang lottery scam sa internet?
explain_concept,Ano ang tawag sa panloloko gamit ang pekeng lotto win?
explain_concept,Paano gumagana ang pekeng lottery message?
explain_concept,Ano ang scam na nagsasabing nanalo ako pero humihingi ng bayad?
explain_concept,Ano ang ibig sabihin ng election scam?
explain_concept,Paano gumagana ang election scam?
explain_concept,Ano ang panloloko na may kaugnayan sa eleksyon?
explain_concept,Paano nangyayari ang election scam sa internet?
explain_concept,Ano ang modus ng election scam?
explain_concept,Paano nahuhulog ang mga tao sa bitag ng election scam?
explain_concept,Ano ang scam na gumagamit ng pekeng balota o result update?
explain_concept,Paano nagpapanggap ang scammer na official election body?
explain_concept,Ano ba talaga ang election scam?
explain_concept,Paano ginagamit ang pekeng election site o mensahe para manlooko?
explain_concept,Ano ang ibig sabihin ng advance fee fraud?
explain_concept,Paano gumagana ang advance fee scam?
explain_concept,Paano nangyayari ang advance fee fraud sa totoong buhay?
explain_concept,Ano ang modus ng advance fee scam?
explain_concept,Bakit humihingi ng bayad bago makuha ang pera o premyo?
explain_concept,Paano ginagamit ang pekeng inheritance o loan offer para manlooko?
explain_concept,Ano ang scam na humihingi ng upfront payment pero walang totoong reward?
explain_concept,Paano nagpapanggap ang scammer na opisyal na financial institution?
explain_concept,Ano ba talaga ang advance fee fraud?
explain_concept,Ano ang tawag sa scam na humihingi ng bayad bago makuha ang prize o loan?
explain_concept,Ano ang ibig sabihin ng [topic] scam?
explain_concept,Paano gumagana ang [topic] scam?
explain_concept,Paano ginagamit ng mga scammer ang pekeng tseke o bank notice para manlooko?
explain_concept,Paano nangyayari ang [topic] sa totoong buhay?
explain_concept,Ano ang modus ng [topic] scam?
explain_concept,Bakit maraming tao ang nabibiktima ng bank scam?
explain_concept,Ano ang scam na may pekeng deposit o fund transfer?
explain_concept,Paano nagpapanggap ang scammer na lehitimong bangko?
explain_concept,Ano ba talaga ang [topic] scam?
explain_concept,Ano-ano ang mga uri ng [topic] scams?
explain_concept,Ano ang mga karaniwang bank scam na nangyayari online?
explain_concept,Ano ang isang halimbawa ng check scam na nangyari sa cellphone?
explain_concept,Ano ang mga karaniwang modus ng [topic] online?
explain_concept,Ano ang ibig sabihin ng panlolokong gumagamit ng pangalan ng bangko sa mensahe?
explain_concept,Paano gumagana ang pekeng mensahe na nagmumula sa banko?
explain_concept,Paano nangyayari ang fake bank message scam sa totoong buhay?
explain_concept,Paano gumagana ang pekeng email o SMS na nagmumula sa banko?
explain_concept,Ano ang ibig sabihin ng pekeng bank message na natanggap ko?
explain_concept,Bakit madaling maloko ang tao sa pamamagitan ng fake bank message?
explain_concept,Ano ba talaga ang Fake Communications from Your Bank Scam?
explain_concept,Ano ang check overpayment scam at paano ito gumagana?
explain_concept,Paano ginagamit ng mga scammer ang sobra-sobrang bayad sa tseke para manlooko?
explain_concept,Paano nangyayari ang check overpayment scam sa totoong buhay?
explain_concept,Ano ang modus ng check overpayment scam?
explain_concept,Bakit madaling maloko ang tao sa check overpayment scam?
explain_concept,Ano ang scam na humihingi ng ibalik ang sobrang bayad sa tseke?
explain_concept,Ano ang isang konkretong sitwasyon ng check overpayment na panloloko?
explain_concept,Paano nagpapanggap ang scammer na legit buyer o financial entity?
explain_concept,Ano ba talaga ang Check Overpayment Scam?
explain_concept,Ano ang ibig sabihin ng travel scam?
explain_concept,Paano gumagana ang travel scam?
explain_concept,Paano ginagamit ng mga scammer ang pekeng travel deals para manlooko?
explain_concept,Paano nangyayari ang pekeng travel package o hotel booking scam?
explain_concept,Paano gumagana ang pekeng flight deal o hotel reservation?
explain_concept,Bakit nagiging biktima ng travel scam ang maraming tao?
explain_concept,Paano nagpapanggap ang scammer na travel agency o airline?
explain_concept,Ano ba talaga ang Travel Scam?
explain_concept,Paano narealize ng mga tao na sila ay nalinlang ng travel scam?
explain_concept,Ano ang ibig sabihin ng government impersonation scam?
explain_concept,Paano gumagana ang government impersonation scam?
explain_concept,Paano ginagamit ng mga scammer ang pangalan ng gobyerno para dayain ang mga tao?
explain_concept,Paano nangyayari ang government impersonation scam sa totoong buhay?
explain_concept,"Paano gumagana ang pekeng liham, email, o text na nagmumula sa gobyerno?"
explain_concept,Ano ang dahilan kung bakit madaling maloko ng government impersonation scam ang mga tao?
explain_concept,Paano nagpapanggap ang scammer na official government agency?
explain_concept,Ano ba talaga ang Government Impersonation Scam?
explain_concept,Paano ginagamit ang pekeng government warning o demand para manlooko?
explain_concept,Ano ang ibig sabihin ng robocall at phone scam?
explain_concept,Paano gumagana ang phone scam o robocall scam?
explain_concept,Paano ginagamit ng mga scammer ang telepono bilang kasangkapan ng panloloko?
explain_concept,Paano nangyayari ang robocall scam sa totoong buhay?
explain_concept,Paano gumagana ang pekeng tawag mula sa bangko o government agency?
explain_concept,Bakit madaling maloko ang tao sa pamamagitan ng phone scam?
explain_concept,Paano ginagamit ang automated calls o robocalls para manlooko?
explain_concept,Ano ba ang tunay na kahulugan ng Robocall at Phone Scam?
explain_concept,Ano ang ibig sabihin ng business imposter scam?
explain_concept,Paano gumagana ang business imposter scam?
explain_concept,Paano ginagamit ng mga scammer ang pangalan ng negosyo para lokohin ang mga tao?
explain_concept,Paano nangyayari ang business imposter scam sa totoong buhay?
explain_concept,Paano gumagana ang pekeng invoice o email mula sa business scammer?
explain_concept,Pwede mo bang magbigay ng halimbawa ng pekeng business offer o invoice?
explain_concept,Ano ba talaga ang Business Imposter Scam?
explain_concept,Paano ginagamit ang pekeng business communication o offer para manlooko?
explain_concept,Ano ang personal data privacy at paano ko mapoprotektahan ang aking impormasyon?
explain_concept,Ano ang personal na impormasyon at paano ito pinoprotektahan?
explain_concept,Ano ang mga batas o patakaran tungkol sa pangangalaga ng personal na datos?
explain_concept,Paano nila pinapaniniwala ang kanilang mga biktima?
explain_concept,Paano ba talaga nagaganap ang panloloko sa internet?
explain_concept,Paano nila unang nililapat ang biktima?
explain_concept,Ano ang proseso ng panloloko ng isang scammer?
explain_concept,Ano ang proteksyon ko sa ilalim ng batas pagdating sa personal na impormasyon ko?
explain_concept,Paano ko makokontrol ang pagbabahagi ng aking personal na impormasyon?
explain_concept,Pwede ko bang ipatigil ang pagproseso ng aking personal na impormasyon?
explain_concept,Paano ginagamit ng mga scammer ang online relationship para manlooko?
explain_concept,Ano ang isang tunay na sitwasyon ng romance scam?
explain_concept,Paano nagpapanggap ang scammer na siya ang iyong karelasyon?
explain_concept,Paano nangyayari ang tech support fraud?
explain_concept,Ano ang scam na nagpapanggap na tumutulong sa aking computer?
explain_concept,Ano ang mga tawag na nagpapanggap na tech support?
explain_concept,Paano nangyayari ang phishing attack sa aktwal na kalagayan?
explain_concept,Sa anong paraan ginagamit ang email para dayain ang mga tao?
explain_concept,Ano ang phishing message at paano ito gumagana?
explain_concept,Paano nalaman ng mga tao na nalinlang sila ng charity scam?
explain_concept,Ano ang modus ng charity scam?
explain_concept,Paano niloloko ang mga tao gamit ang pekeng donation?
explain_concept,Paano ginagamit ang pangalan ng charity para manlooko?
explain_concept,Paano niloloko ang mga tao gamit ang pekeng impormasyon tungkol sa eleksyon?
explain_concept,Ano ang tawag sa panloloko na may kinalaman sa botohan?
explain_concept,Sa anong paraan ginagamit ang social media para isagawa ang election scam?
explain_concept,Paano niloloko ang mga tao sa pamamagitan ng upfront payment?
explain_concept,Sa anong paraan ginagamit ang social media o email sa advance fee scam?
explain_concept,Paano niloloko ng mga scammer ang mga tao gamit ang bank transactions?
explain_concept,Ano ang tawag sa scam na humihingi ng bank details o nagpapadala ng pekeng tseke?
explain_concept,Paano ginagamit ang pekeng bank transaction para manlooko?
explain_concept,Ano ang mga karaniwang modus sa bank and check scams?
explain_concept,Paano ginagamit ng mga scammer ang pekeng mensahe mula sa banko para manlooko?
explain_concept,Paano nangyayari ang scam na nagpapanggap na official bank notification?
explain_concept,Sa anong paraan ginagamit ang online platforms sa overpayment scam?
explain_concept,Bakit mahalagang mag-ingat sa mga scam?
explain_concept,Bakit dapat maging maingat ang mga senior sa mga scam?
explain_concept,Bakit kailangan kong mag-ingat sa mga kahina-hinalang mensahe?
explain_concept,Bakit dapat magduda sa mga alok na masyadong maganda?
explain_concept,Bakit hindi dapat agad magtiwala sa mga hindi kilala online?
explain_concept,Bakit mahalagang protektahan ang personal na impormasyon?
explain_concept,Bakit dapat suriin muna ang mga alok o mensahe bago maniwala?
explain_concept,Bakit hindi dapat magpadala agad ng pera kapag may humihingi?
explain_concept,Bakit kailangan kong mag-ingat sa mga tawag o mensahe mula sa hindi kilala?
explain_concept,Bakit mahalagang maging mapanuri sa mga online na alok?
explain_concept,Paano ba nanloloko ang mga scammers
explain_concept,Ano ang mga panloloko online.
explain_concept,Paano gumawa ng malakas at ligtas na password?
explain_concept,Paano gumawa ng malakas na password para sa aking account?
explain_concept,Ano ang mga dapat isaalang-alang sa paggawa ng secure na password?
explain_concept,Paano gumawa ng password na mahirap hulaan ng iba?
explain_concept,Ano ang mga katangian ng isang malakas at secure na password?
explain_concept,Paano gumawa ng password na hindi madaling ma-hack?
explain_concept,Paano gumawa ng password na secure pero madaling tandaan?
explain_concept,Ano ang isang halimbawa ng isang malakas na password?
explain_concept,Bakit kailangan gumawa ng natatanging password para sa bawat account?
explain_concept,Paano ko gagawing mas ligtas ang aking mga login credentials?
explain_concept,Ano ang mga pinakamabuting gawi sa paggawa ng password?
explain_concept,Ano ang iba't ibang klase ng scam?
explain_concept,Ano ang iba't ibang uri ng scam?
explain_concept,Ipaliwanag mo ang iba't ibang klase ng scam.
explain_concept,Ipaliwanag mo ang iba't ibang uri ng scam.
explain_concept,Ano ang mga karapatan ko sa paggamit ng personal na impormasyon ko?
explain_concept,Ano ang karapatan ko pagdating sa personal data ko?
explain_concept,Ano ang mga karapatan ko sa paghawak ng impormasyon ko online?
explain_concept,Ano ang pwede kong gawin para protektahan ang personal info ko?
explain_concept,Ano ang mga karapatan ko sa data privacy?
explain_concept,Ano ang karapatan ko kapag ginagamit ang impormasyon ko?
explain_concept,Ano ang mga batas tungkol sa paggamit ng personal na datos ko?
explain_concept,Ano ang karapatan ko laban sa maling paggamit ng impormasyon ko?
explain_concept,Ano ang rights ko pagdating sa personal information ko online?
explain_concept,Ano ang mga karapatan ko bilang user sa internet tungkol sa data ko?
explain_concept,Ano ang ibig sabihin ng [topic]?
explain_concept,Ano ang kahulugan ng [topic]?
explain_concept,Ano ang [topic]?
explain_concept,Ano ang depinisyon ng [topic]?
explain_concept,Ano ang paliwanag sa [topic]?
explain_concept,Ano ang konsepto ng [topic]?
explain_concept,Ano ang tinutukoy ng [topic]?
explain_concept,Ano ang simpleng paliwanag ng [topic]?
explain_concept,Ano ang pangunahing ideya ng [topic]?
explain_concept,Ano ang ibig sabihin kapag sinabing [topic]?
explain_concept,Ano ang scam?
explain_concept,Ano ang kahalagahan ng [topic]?
explain_concept,Ano ang epekto ng [topic]?
explain_concept,Ano ang proseso ng [topic]?
explain_concept,Ano ang pinagkaiba ng [topic] sa iba?
explain_concept,Ano ang halaga ng pagiging maingat online?
explain_concept,
,
,
,
prevent_scam,Paano ko maaalagaan ang aking seguridad habang nagso-social media o nagba-browse?
prevent_scam,Ano ang mga paraan para maprotektahan ang sarili habang naka-online?
prevent_scam,Paano ako magiging ligtas habang gumagamit ng internet?
prevent_scam,Paano ko masisigurado na safe ang aking mga ginagawa online?
prevent_scam,Paano ko maiingatan ang aking personal na impormasyon sa internet?
prevent_scam,Paano ko malalaman kung may panganib sa internet na dapat bantayan?
prevent_scam,Ano ang dapat gawin para hindi mabiktima habang naka-online?
prevent_scam,Ano ang mga simpleng tips para sa safe na pag-browse?
prevent_scam,Paano hindi mahulog sa panganib habang gumagamit ng internet?
prevent_scam,Ano ang dapat tandaan kapag gumagawa ng mga online transactions?
prevent_scam,Paano ako magiging mas maingat sa lahat ng aking ginagawa online?
prevent_scam,Ano ang mga bagay na dapat iwasan habang nag-i-internet?
prevent_scam,Paano ko maaalagaan ang aking seguridad habang nagso-social media o nagba-browse?
prevent_scam,Paano ko mapapansin ang mga mapanganib na bagay habang naka-online?
prevent_scam,Ano ang mga dapat bantayan habang gumagamit ng internet?
prevent_scam,Paano ko mapapalakas ang aking proteksyon laban sa mga cybercrime?
prevent_scam,Ano ang mga pangunahing alituntunin para sa kaligtasan sa internet?
prevent_scam,Paano ko mapapanatiling pribado at ligtas ang aking presensya online?
prevent_scam,Paano ko maiiwasan ang mga panloloko sa social media?
prevent_scam,Ano ang dapat gawin para hindi maloko sa Facebook o ibang social media?
prevent_scam,Paano mag-ingat laban sa mga scammer sa social media?
prevent_scam,Ano ang mga paraan para mapanatiling ligtas ang aking account sa social media?
prevent_scam,Paano ko mapipigilan ang sarili na mahulog sa bitag ng mga scammer sa social media?
prevent_scam,Ano ang dapat gawin kapag may kahina-hinalang mensahe na natanggap sa social media?
prevent_scam,Ano ang mga bagay na dapat iwasan para hindi mabiktima ng scam sa social media?
prevent_scam,Paano umiwas sa mga taong may masamang intensyon sa social media?
prevent_scam,Paano maging mapanuri sa mga alok o mensaheng natanggap sa social media?
prevent_scam,Paano maging ligtas sa araw-araw na paggamit ng social media?
prevent_scam,Paano ko mapapanatiling secure ang aking social media account?
prevent_scam,Paano ko maaalagaan ang aking privacy sa social media?
prevent_scam,Paano maging matalino at maingat sa paggamit ng social media?
prevent_scam,Ano ang mga patakaran na dapat sundin para sa ligtas na paggamit ng social media?
prevent_scam,Ano ang dapat iwasang gawin para hindi mapanganib ang sarili sa social media?
prevent_scam,Paano mapanatiling pribado ang aking impormasyon sa social media?
prevent_scam,Paano maging alerto laban sa mga panganib sa social media?
prevent_scam,Paano ko masisigurado na ligtas ang aking pakikipag-usap sa mga tao sa social media?
prevent_scam,Paano ko mapapangalagaan ang aking smartphone o laptop mula sa mga banta online?
prevent_scam,Paano ko mase-secure ang aking laptop laban sa mga virus?
prevent_scam,Paano ko mapapanatiling ligtas ang aking cellphone habang naka-online?
prevent_scam,Paano ko maiiwasan ang malware sa aking smartphone?
prevent_scam,Ano ang dapat gawin para maging secure ang aking mga gadget?
prevent_scam,Ano ang mga tips para sa ligtas na paggamit ng smartphone?
prevent_scam,Ano ang mga dapat i-install para maprotektahan ang aking device?
prevent_scam,Paano ko mapapanatiling updated at ligtas ang aking mga gadget?
prevent_scam,Paano mapigilan ang virus na makapasok sa aking cellphone?
prevent_scam,Ano ang mga pinakamabuting gawi para sa seguridad ng device?
prevent_scam,Ano ang mga dapat iwasan para hindi malagay sa panganib ang aking device?
prevent_scam,Paano ko mase-set up ang seguridad ng aking laptop?
prevent_scam,Paano ko mapoprotektahan ang aking personal na impormasyon sa internet?
prevent_scam,Ano ang mga paraan para mapanatiling pribado ang aking personal na datos?
prevent_scam,Paano ko masisigurado na ligtas ang aking personal na impormasyon?
prevent_scam,Paano ko maiiwasan ang pagkalat ng aking personal na impormasyon online?
prevent_scam,Paano ko mase-secure ang aking mga personal na records online?
prevent_scam,Ano ang mga bagay na dapat iwasan para hindi makompromiso ang aking datos?
prevent_scam,Paano ko makokontrol kung sino ang makakakita ng aking personal na impormasyon?
prevent_scam,Paano ko mapipigilan ang hindi awtorisadong pagkuha ng aking datos?
prevent_scam,Paano ko malalaman kung ligtas ang website bago ko ilagay ang aking impormasyon?
prevent_scam,Paano ko maiiwasan ang scam na may tumatawag na nagpapanggap na kamag-anak?
prevent_scam,Ano ang dapat gawin kung may tumawag na nagsasabing apo o anak mo siya?
prevent_scam,Ano ang mga hakbang para hindi mabiktima ng tawag na nagpapanggap na pamilya?
prevent_scam,Paano ko mave-verify kung tunay na kamag-anak ang tumatawag?
prevent_scam,
prevent_scam,Paano hindi malinlang ng tawag na nagpapanggap na apo o pamangkin?
prevent_scam,Ano ang mga senyales ng grandparent scam sa telepono?
prevent_scam,Ano ang dapat itanong kung may tumawag na nagpapanggap na kapamilya?
prevent_scam,Paano maging maingat sa mga tawag na may kinalaman sa pamilya?
prevent_scam,Paano ko makukumpirma ang tunay na pagkakakilanlan ng tumatawag?
prevent_scam,Paano ko malalaman kung peke ang emergency na sinasabi ng tumatawag?
prevent_scam,Ano ang mga dapat iwasan kapag may tumatawag na humihingi ng agarang tulong pinansyal?
prevent_scam,Paano hindi mabiktima ng scam na gumagamit ng takot at emosyon para manipulahin?
prevent_scam,Ano ang dapat suriin bago mag-invest sa cryptocurrency?
prevent_scam,
prevent_scam,Paano ko makikilala ang mga babala sa mga crypto investments?
prevent_scam,Paano ko mave-verify kung totoo ang isang crypto project?
prevent_scam,Ano ang dapat gawin kung may nag-aalok ng crypto investment online?
prevent_scam,Paano ko maiiwasan ang panloloko sa Bitcoin o ibang cryptocurrency?
prevent_scam,Paano ko matutukoy kung Ponzi scheme ang isang crypto investment?
prevent_scam,Paano ko masisigurado na hindi mapanganib ang aking pera sa crypto?
prevent_scam,Ano ang mga tanong na dapat itanong bago mag-invest sa crypto?
prevent_scam,Paano ko makikilala ang mga mapanlinlang na crypto offers?
prevent_scam,Paano ko malalaman kung too good to be true ang isang crypto investment?
prevent_scam,Ano ang mga palatandaan ng pekeng crypto trading scheme?
prevent_scam,Paano ko maiiwasan ang romance scam?
prevent_scam,Ano ang dapat gawin para hindi mabiktima ng love scam?
prevent_scam,Paano maging ligtas sa online dating?
prevent_scam,Ano ang dapat tandaan kapag may nakilala kang bagong tao online?
prevent_scam,Ano ang dapat iwasan sa online relationship para hindi ma-scam?
prevent_scam,Paano ko masisigurado na hindi scammer ang kausap ko online?
prevent_scam,Ano ang mga babala na dapat bantayan sa mga online dating scam?
prevent_scam,Ano ang mga dapat gawin bago magtiwala sa taong nakilala sa internet?
prevent_scam,Paano ko maiiwasan ang scammer na nagpapanggap na may gusto sa akin?
prevent_scam,Ano ang mga hakbang para manatiling ligtas sa mga dating apps?
prevent_scam,Paano ko haharapin ang online relationship kung may humihingi na ng pera?
prevent_scam,Paano ko maiiwasan ang panloloko sa long-distance online relationship?
prevent_scam,Paano ko mapoprotektahan ang aking device laban sa [topic]?
prevent_scam,Ano ang dapat gawin para maiwasan ang [topic] attack?
prevent_scam,Paano ko maiiwasan na ma-lock ang aking mga files ng [topic]?
prevent_scam,Paano ko mapipigilan ang [topic] sa aking computer?
prevent_scam,
prevent_scam,Ano ang mga hakbang para maiwasan ang [topic]?
prevent_scam,Ano ang mga pinakamabuting gawi laban sa [topic]?
prevent_scam,Paano ko maiiwasan ang mga mapanganib na downloads na may kasamang [topic]?
prevent_scam,Paano ko maiiwasan ang [topic] sa aking cellphone?
prevent_scam,Paano ko mapipigilan ang pagkawala ng access sa aking mga files dahil sa [topic]?
prevent_scam,Ano ang dapat gawin para hindi mabiktima ng tech support scam?
prevent_scam,Paano ko mapoprotektahan ang sarili laban sa pekeng tech support?
prevent_scam,Ano ang dapat tandaan kapag may nag-aalok ng tech support?
prevent_scam,Paano ko maiiwasan ang scam na gumagamit ng pekeng virus warning?
prevent_scam,Ano ang dapat gawin kapag may pop-up na nagsasabing may virus ang device ko?
prevent_scam,Ano ang mga safety tips laban sa tech support scam?
prevent_scam,Ano ang dapat iwasan kapag may tumawag na nagpapanggap na tech support?
prevent_scam,Paano ko masisigurado na lehitimo ang tech support na tumatawag sa akin?
prevent_scam,Paano ko maiiwasan ang pekeng virus alert na lumalabas sa screen?
prevent_scam,Ano ang dapat gawin bago magtiwala sa sinumang nag-aalok ng tech support?
prevent_scam,Paano ko mapipigilan ang mga scammer na nagpapanggap na computer technician?
prevent_scam,Paano ko maiiwasan ang phishing scam?
prevent_scam,Ano ang dapat gawin para hindi mabiktima ng phishing?
prevent_scam,
prevent_scam,Anong mga bagay ang dapat iwasan para hindi mahulog sa phishing?
prevent_scam,Paano ko maiiwasan ang pekeng website na humihingi ng aking impormasyon?
prevent_scam,Paano ko susuriin kung mapagkakatiwalaan ang isang link o email?
prevent_scam,Ano ang mga palatandaan na phishing ang isang mensahe?
prevent_scam,Paano ko maiiwasan ang pekeng login page?
prevent_scam,Ano ang dapat gawin bago magbigay ng password sa kahit anong website o email?
prevent_scam,Paano ko masisigurado na hindi phishing ang link na na-click ko?
prevent_scam,Ano ang dapat bantayan sa mga email o text message para maiwasan ang phishing?
prevent_scam,Ano ang dapat gawin para hindi mabiktima ng online shopping scam?
prevent_scam,Ano ang mga tips para ligtas mamili sa internet?
prevent_scam,Ano ang dapat bantayan bago magbayad sa isang online seller?
prevent_scam,
prevent_scam,Paano ko maiiwasan ang pekeng promo o sale online?
prevent_scam,Ano ang dapat i-check bago bumili sa isang online store?
prevent_scam,Paano ko maiiwasan ang panloloko sa delivery o payment?
prevent_scam,Ano ang mga red flags sa online shopping na dapat bantayan?
prevent_scam,Paano ko malalaman kung peke ang mga reviews sa isang online store?
